live_id,species,user_id,user_name,gender,time,content,label
elslk001,美食饮料,111111.0,杨***,女,2025/4/17 19:43,巧克力,1
elslk001,美食饮料,111111.0,l***,女,2025/4/17 19:43,但是有果葡糖浆[捂脸],0
elslk001,美食饮料,111111.0,九***,女,2025/4/17 19:43,奶粉奶粉奶粉奶粉奶粉,1
elslk001,美食饮料,111111.0,玉***,女,2025/4/17 19:43,已拍巧克力,0
elslk001,美食饮料,111111.0,一***,女,2025/4/17 19:43,"味道好,但有异味",0
elslk001,美食饮料,111111.0,Z***,女,2025/4/17 19:43,克洛文兄弟把好东西带进中国品质保证你会发大财,0
elslk001,美食饮料,111111.0,一***,女,2025/4/17 19:43,"收到了,好吃",0
elslk001,美食饮料,111111.0,珍***,女,2025/4/17 19:43,中文说得很流利[赞][赞],0
elslk001,美食饮料,111111.0,用***,女,2025/4/17 19:43,中文厉害!刚收到刚吃了各2粒,0
elslk001,美食饮料,111111.0,阿***,女,2025/4/17 19:43,没有了,1
elslk001,美食饮料,111111.0,用***,女,2025/4/17 19:43,"好好想想吧,俄罗斯他是巧克力的产地吗?巧克力主要原材料是可可可可,生长在热带",0
elslk001,美食饮料,111111.0,l***,女,2025/4/17 19:43,独立包装加分,0
elslk001,美食饮料,111111.0,你***,女,2025/4/17 19:43,真抢得到福袋吗[捂脸],0
elslk001,美食饮料,111111.0,敖***,女,2025/4/17 19:43,孕妇能不能吃[捂脸],1
elslk001,美食饮料,111111.0,X***,女,2025/4/17 19:44,能不能送我一颗尝尝[看][看],0
elslk001,美食饮料,111111.0,我***,女,2025/4/17 19:44,2号链接的糖可以给孩子吃吗?,1
elslk001,美食饮料,111111.0,这***,女,2025/4/17 19:44,里面没有小包装吗,1
elslk001,美食饮料,111111.0,屑***,女,2025/4/17 19:44,"今天必须拍10单8单,已拍2单",0
elslk001,美食饮料,111111.0,用***,女,2025/4/17 19:44,在哪发贷,0
elslk001,美食饮料,111111.0,姜***,女,2025/4/17 19:44,没有发,0
elslk001,美食饮料,111111.0,热***,女,2025/4/17 19:44,"加点,没抢到",0
elslk001,美食饮料,111111.0,向***,女,2025/4/17 19:44,没抢到,0
elslk001,美食饮料,111111.0,倔***,女,2025/4/17 19:44,"路过,支持一单[玫瑰]",0
elslk001,美食饮料,111111.0,X***,女,2025/4/17 19:44,能不能送我一颗尝尝,0
elslk001,美食饮料,111111.0,家***,女,2025/4/17 19:44,介绍下5号链接,1
elslk001,美食饮料,111111.0,皮***,女,2025/4/17 19:44,"别紧张,下巴汗都出来了,幕后开空调,俄国兄弟不怕冷",0
elslk001,美食饮料,111111.0,二***,女,2025/4/17 19:44,"三只小蜜蜂的跟你一样,俄罗斯的卖12块钱一斤",0
elslk001,美食饮料,111111.0,俏***,女,2025/4/17 19:44,有麦片吗,1
elslk001,美食饮料,111111.0,卓***,女,2025/4/17 19:44,紫皮糖上吗,1
elslk001,美食饮料,111111.0,哈***,女,2025/4/17 19:44,没抢上啊,0
elslk001,美食饮料,111111.0,Z***,女,2025/4/17 19:44,相信我一定会,0
elslk001,美食饮料,111111.0,斯***,女,2025/4/17 19:44,没了?,0
elslk001,美食饮料,111111.0,陪***,女,2025/4/17 19:45,俄罗斯烟有典吗?,1
elslk001,美食饮料,111111.0,秀***,女,2025/4/17 19:45,上次买的挺好吃的,0
elslk001,美食饮料,111111.0,S***,女,2025/4/17 19:45,主播说得中文很好[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],0
elslk001,美食饮料,111111.0,财***,女,2025/4/17 19:45,喜欢俄罗斯的大列巴,1
elslk001,美食饮料,111111.0,秒***,女,2025/4/17 19:45,想吃你们家混合糖,1
elslk001,美食饮料,111111.0,龙***,女,2025/4/17 19:45,"哈喽,柯罗文",0
elslk001,美食饮料,111111.0,M***,女,2025/4/17 19:45,这俄罗斯佬中文说的很溜[赞],0
elslk001,美食饮料,111111.0,用***,女,2025/4/17 19:45,有没有糖尿病吃的糖?,1
elslk001,美食饮料,111111.0,秀***,女,2025/4/17 19:45,问题就太贵了,0
elslk001,美食饮料,111111.0,屑***,女,2025/4/17 19:45,刚拍了,0
elslk001,美食饮料,111111.0,用***,女,2025/4/17 19:45,在哪直播,0
elslk001,美食饮料,111111.0,齿***,女,2025/4/17 19:45,俄罗斯不产可可吧,0
elslk001,美食饮料,111111.0,用***,女,2025/4/17 19:45,这真是俄罗斯的吗?,1
elslk001,美食饮料,111111.0,水***,女,2025/4/17 19:45,"我头两天拍的饼干是去年7月份生产的,是没过期感觉挺别扭的",0
elslk001,美食饮料,111111.0,H***,女,2025/4/17 19:45,你的中文[赞][赞][赞],0
elslk001,美食饮料,111111.0,三***,女,2025/4/17 19:45,是可可脂?还是代可可脂?[惊呆][惊呆][惊呆],1
elslk001,美食饮料,111111.0,九***,女,2025/4/17 19:45,奶粉奶粉奶粉奶粉奶粉,1
elslk001,美食饮料,111111.0,狠***,女,2025/4/17 19:45,你的东西好低迷,0
elslk001,美食饮料,111111.0,老***,女,2025/4/17 19:45,"兄弟,能不能帮我从你们家弄一头熊仔子过来?钱不是问题[玫瑰][玫瑰]",0
elslk001,美食饮料,111111.0,用***,女,2025/4/17 19:45,在哪发货,0
elslk001,美食饮料,111111.0,刘***,女,2025/4/17 19:45,主播你的介绍很好我已下了4单,0
elslk001,美食饮料,111111.0,文***,女,2025/4/17 19:45,俄罗斯火腿有吗,1
elslk001,美食饮料,111111.0,不***,女,2025/4/17 19:45,14号,0
elslk001,美食饮料,111111.0,人***,女,2025/4/17 19:45,紫皮糖,1
elslk001,美食饮料,111111.0,倔***,女,2025/4/17 19:45,喜欢酱油和面粉,1
elslk001,美食饮料,111111.0,歌***,女,2025/4/17 19:45,嗑唠的硬[赞],0
elslk001,美食饮料,111111.0,财***,女,2025/4/17 19:45,上点俄罗斯大列巴,1
elslk001,美食饮料,111111.0,俏***,女,2025/4/17 19:45,有麦片吗?,1
elslk001,美食饮料,111111.0,吴***,女,2025/4/17 19:46,是俄罗斯原产的吗?,1
elslk001,美食饮料,111111.0,澄***,女,2025/4/17 19:46,鼻子尖上的是巧克力吗[捂脸],0
elslk001,美食饮料,111111.0,闲***,女,2025/4/17 19:46,你会不会俄罗斯语啊?你是不是新疆的啊[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸],0
elslk001,美食饮料,111111.0,歌***,女,2025/4/17 19:46,普通话[赞],0
elslk001,美食饮料,111111.0,2***,女,2025/4/17 19:46,"所以你们一个个大胖子,哈哈哈",0
elslk001,美食饮料,111111.0,九***,女,2025/4/17 19:46,"那个我买一点送朋友就说从俄罗斯带回来的,到时候你别说出去",0
elslk001,美食饮料,111111.0,H***,女,2025/4/17 19:46,持巧克力会不会长胖,1
elslk001,美食饮料,111111.0,襟***,女,2025/4/17 19:46,m多少钱便宜点,0
elslk001,美食饮料,111111.0,秒***,女,2025/4/17 19:46,有混合糖吗,1
