live_id,species,content,label,background
dandanzuiniu,生活日杂,我爱你蛋蛋,0,该用户可能在用昵称或爱称表达对主播或商品的喜爱和购买兴趣。
dandanzuiniu,生活日杂,给力给力给力给力给力[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],0,该用户想表达的是对直播内容或产品的强烈兴奋和高度认可，通过重复的正面评价和密集的点赞表情传递出极高的参与热情。
dandanzuiniu,生活日杂,她的皮肤说实话好吗?,0,该用户是在质疑主播推荐产品的实际效果，想确认产品是否真如宣传所说对皮肤有改善作用。
dandanzuiniu,生活日杂,厉害了,0,该用户想表达的含义是：对直播内容或产品效果感到惊叹和赞赏。
dandanzuiniu,生活日杂,完了年前买亏了[捂脸][捂脸][捂脸][捂脸][捂脸],0,该用户想表达的含义是：后悔之前购买的价格比现在直播间的优惠更高，感到有些不划算。
dandanzuiniu,生活日杂,支持支持支持支持,0,该用户想表达的含义是：通过重复性鼓励表达对主播或产品的积极认可和情感支持。
dandanzuiniu,生活日杂,主播好,0,该用户想表达的含义是：对主播的友好问候和基本认可。
dandanzuiniu,生活日杂,辛巴蛋蛋牛,0,该用户可能是在用主播昵称和产品关键词组合的方式表达对主播推荐产品的兴趣或认可。
dandanzuiniu,生活日杂,真好产品,1,该用户想表达的含义是：这款产品的品质确实不错，让人产生购买欲望。
dandanzuiniu,生活日杂,孕妇可以用吗?,1,该用户是在询问产品是否适合孕妇使用，以评估自身购买的可能性。
dandanzuiniu,生活日杂,知道上车吧,1,该用户想表达的含义是：我已经了解产品信息了，现在可以下单购买了。
dandanzuiniu,生活日杂,真给力,0,该用户想表达的含义是：对直播内容或产品促销力度感到非常满意和兴奋。  （结合前文弹幕中频繁出现的“给力”“支持”“厉害”等积极反馈，以及“上车吧”等购买暗示，可推断“真给力”是对当前促销活动或产品表现的强烈认可，可能隐含进一步参与购买的意向。）
dandanzuiniu,生活日杂,蛋宝的脸水光水光的漂亮,0,该用户是在夸赞主播皮肤状态好，透亮有光泽，表达了对主播外貌的欣赏和喜爱。
dandanzuiniu,生活日杂,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][,0,该用户想表达的含义是：对主播或产品的高度赞赏和强烈支持。
