live_id,species,content,label,background
dongfangzhenxuan,生活日杂,刺梨汁，今天机制是最划算的一次,1,该用户认为当前促销活动中的刺梨汁价格是近期最优惠的，表现出明确的购买意向。
dongfangzhenxuan,生活日杂,热量高吗,1,该用户是在询问产品的热量信息，可能出于健康或减肥的考虑想了解该刺梨汁是否适合自己饮用。
dongfangzhenxuan,生活日杂,预售都卖空了,1,该用户想表达的含义是：对商品预售售罄感到意外或遗憾，可能暗示自己因抢购不到而失望。
dongfangzhenxuan,生活日杂,料已经很足了,1,该用户认为产品介绍或优惠信息已经非常充分，无需再补充更多内容。
dongfangzhenxuan,生活日杂,拍到了,0,该用户想表达的含义是：自己成功抢购到了商品。
dongfangzhenxuan,生活日杂,420g多大一块儿啊？,1,该用户是在询问产品的具体尺寸或分量是否足够大。
dongfangzhenxuan,生活日杂,哇，看到就好吃[赞][赞],1,该用户被产品的外观或描述所吸引，表达了对商品的强烈兴趣和购买欲望。
dongfangzhenxuan,生活日杂,会很甜吗？,1,该用户是在询问产品的甜度是否符合自己的口味偏好。
dongfangzhenxuan,生活日杂,有优惠吗？多少钱？,1,该用户想询问当前商品是否有折扣活动以及具体价格信息。
dongfangzhenxuan,生活日杂,红豆的是啥样的,1,该用户想询问红豆款产品的具体外观或款式细节。
dongfangzhenxuan,生活日杂,今晚只讲一个品吗？,0,该用户可能是在询问直播是否只介绍一款产品，暗示希望了解更多其他商品的优惠信息。
dongfangzhenxuan,生活日杂,可以保存多久,1,该用户是在询问商品的保质期或保存期限。
dongfangzhenxuan,生活日杂,发什么快递,0,该用户想询问商品的配送方式或快递公司信息。
dongfangzhenxuan,生活日杂,看看红豆的,1,该用户想了解红豆产品的具体外观或详细介绍。
dongfangzhenxuan,生活日杂,大晚上看这奶酪包介绍，竟然看饿了[捂脸],0,该用户被直播中展示的奶酪包所吸引，产生了强烈的食欲和潜在的购买欲望。
dongfangzhenxuan,生活日杂,必须冰箱冷藏吗,1,该用户是在询问产品是否需要特定的储存条件（冷藏）以确保品质或保质期。
dongfangzhenxuan,生活日杂,什么快递,0,该用户想询问商品发货时使用的快递公司是哪家，以便了解物流时效和服务质量。
dongfangzhenxuan,生活日杂,保存多久,1,该用户想询问商品的保质期或适宜储存的时间长度。
dongfangzhenxuan,生活日杂,要预售的,1,该用户想询问是否有预售商品可以购买。
dongfangzhenxuan,生活日杂,购物车里都开价了 喜欢的直接拍[666],0,该用户想表达的含义是：商品价格已经公开，感兴趣的观众可以立即下单购买。
dongfangzhenxuan,生活日杂,多少钱,1,该用户想询问当前直播商品的详细价格信息，以评估是否符合自己的购买预期。
dongfangzhenxuan,生活日杂,刺梨汁今天机制是最划算的一次,1,该用户想表达的意思是：今天的促销活动是这款刺梨汁有史以来最优惠的一次，值得立即下单。
dongfangzhenxuan,生活日杂,好有食欲呀,1,该用户被直播展示的商品所吸引，产生了强烈的品尝欲望和购买冲动。
dongfangzhenxuan,生活日杂,你们赶紧发货了，速度太慢了[捂脸],0,该用户因已下单但迟迟未收到货而感到焦急，催促商家加快物流速度。
dongfangzhenxuan,生活日杂,桑葚干是软的还是硬的？,1,该用户想了解桑葚干的具体口感质地，以此判断是否符合自己的食用偏好或购买需求。
dongfangzhenxuan,生活日杂,有几块,1,该用户可能在询问商品的具体规格或包装数量（如奶酪包有几块装）。
dongfangzhenxuan,生活日杂,真真好吃[比心],1,该用户想表达的含义是：对产品口味的强烈认可并流露出明显的购买倾向。
dongfangzhenxuan,生活日杂,能看一下坚果的和红豆的吗,1,该用户想表达的含义是：希望主播展示一下坚果和红豆产品的实物或详细介绍。
dongfangzhenxuan,生活日杂,好多果仁,1,该用户想表达的含义是：这款产品的果仁含量很丰富。
dongfangzhenxuan,生活日杂,福袋是抽免单吗？,0,该用户是在询问福袋的抽奖活动是否包含免单优惠，表现出对促销活动的兴趣和参与意愿。
dongfangzhenxuan,生活日杂,原味的热量比坚果高啊啊啊,0,该用户可能是在对比不同产品的热量，表达对原味食品热量较高的惊讶或顾虑。
dongfangzhenxuan,生活日杂,能看一下坚果和红豆的吗,1,该用户希望主播展示坚果和红豆产品的实物细节或介绍其特点。
dongfangzhenxuan,生活日杂,一盒多少个？,1,该用户想询问商品包装内的具体数量规格。
dongfangzhenxuan,生活日杂,已拍,0,该用户想表达的含义是：我已经下单购买了这款商品。
dongfangzhenxuan,生活日杂,那种好吃,1,该用户想询问直播中展示的某款食品的口感和味道如何，可能是在犹豫是否要购买。
dongfangzhenxuan,生活日杂,要预售的,1,该用户想询问当前展示的商品是否有预售购买选项。
dongfangzhenxuan,生活日杂,坚果好吃,1,该用户是在认可产品品质并暗示有购买意向。
dongfangzhenxuan,生活日杂,好吃嘛,1,该用户是在询问产品的口味是否令人满意，以评估是否值得购买。
dongfangzhenxuan,生活日杂,嘎嘎好吃,1,该用户想表达的含义是：对直播中展示的食品味道表示高度认可和喜爱。
dongfangzhenxuan,生活日杂,刺梨汁今天机制是最划算的一次，抓紧拍,1,该用户是在强烈推荐大家趁当前优惠力度最大时立即下单购买刺梨汁。
dongfangzhenxuan,生活日杂,料足[鼓掌],1,该用户想表达的含义是：这款产品的用料很实在，让人满意。
dongfangzhenxuan,生活日杂,酸奶有吗,1,该用户是在询问直播间是否有酸奶产品在售。
dongfangzhenxuan,生活日杂,切开什么样,1,该用户想了解产品切开后的内部状态或细节展示。
dongfangzhenxuan,生活日杂,用料很足吗,1,该用户是在询问产品所用原料的分量是否充足实在。
dongfangzhenxuan,生活日杂,看着就好吃,1,该用户被直播展示的食品所吸引，认为其外观诱人并产生了品尝欲望。
dongfangzhenxuan,生活日杂,缺货了,1,该用户想表达的含义是：想购买的商品已经售罄了。
dongfangzhenxuan,生活日杂,怎么没货,1,该用户因看到其他观众提到商品缺货，而表达了对心仪商品售罄的失望和询问补货情况的意愿。
dongfangzhenxuan,生活日杂,坚果款介绍一下,1,该用户希望主播详细讲解坚果款产品的特点和卖点。
dongfangzhenxuan,生活日杂,红豆奶酪包有坚果吗,1,该用户是在询问红豆奶酪包的具体配料，尤其关注是否含有坚果成分。
dongfangzhenxuan,生活日杂,保质期多久？,1,该用户想确认商品的新鲜度和存放时间，以评估是否值得购买。
dongfangzhenxuan,生活日杂,巨好吃，自建房拍了,1,该用户想表达的意思是：这款产品非常美味，我已经下单购买了自建房款。
dongfangzhenxuan,生活日杂,没有了,1,该用户想表达的含义是：商品已经售罄了。
dongfangzhenxuan,生活日杂,没坚果,1,该用户想表达的是对直播间当前没有坚果类产品的不满或遗憾。
dongfangzhenxuan,生活日杂,23号链接什么时候讲？,1,该用户想询问直播中何时会详细介绍23号链接的商品信息。
dongfangzhenxuan,生活日杂,原味,1,该用户可能是在询问产品是否有原味可选，或确认当前介绍的是否为原味款式。
dongfangzhenxuan,生活日杂,加货,1,该用户想表达的含义是：希望主播补充已售罄或库存不足的商品。
dongfangzhenxuan,生活日杂,红豆和坚果没货啦,1,该用户想表达的含义是：红豆和坚果口味的产品已经售罄了，对此感到遗憾或询问能否补货。
dongfangzhenxuan,生活日杂,拍了拍了,0,该用户想表达自己已经下单购买了商品。
dongfangzhenxuan,生活日杂,只有原味了,1,该用户想表达的含义是：对当前仅剩原味产品感到遗憾，暗示自己更想购买其他口味但已售罄。
dongfangzhenxuan,生活日杂,没了，坚果,1,该用户想表达的含义是：坚果款商品已经售罄了。
dongfangzhenxuan,生活日杂,福袋 100 份,0,该用户可能在询问或催促主播发放100份福袋福利，暗示对参与抽奖或领取赠品的兴趣。
dongfangzhenxuan,生活日杂,好吃,1,该用户想表达的含义是：对当前展示的食品表示认可和赞赏，暗示有购买意向。
dongfangzhenxuan,生活日杂,顺丰快递,0,该用户可能在询问商品是否支持顺丰快递配送。
dongfangzhenxuan,生活日杂,这是个啥？,0,该用户可能在询问当前展示或讨论的商品具体是什么，表现出对产品的好奇和潜在购买兴趣。
dongfangzhenxuan,生活日杂,福袋,0,该用户可能是在询问或提醒直播间发放的福袋福利是否还有剩余。
dongfangzhenxuan,生活日杂,坚果,1,该用户可能是在询问或确认当前直播中是否有坚果相关的产品在售。
