live_id,species,content,label,background
127652977,生鲜水果,上海98,0,该用户可能在询问商品在上海地区的价格或库存情况。
127652977,生鲜水果,鸡爪有吗,1,该用户是在询问直播间是否有售卖鸡爪这款产品。
127652977,生鲜水果,看着好吃[赞][赞][赞][赞],1,该用户想表达的含义是：这款食品看起来非常美味诱人，自己很有兴趣购买。  （结合前文“鸡爪有吗”的询问语境，用户可能在称赞当前展示的鸡爪或其他食品，通过表情符号强化积极评价，隐含购买意向。）
127652977,生鲜水果,看着就好,1,该用户觉得商品看起来不错，流露出一定的兴趣和认可。
127652977,生鲜水果,10包,0,该用户想表达的是询问是否可以购买10包鸡爪。
127652977,生鲜水果,看着就香,1,该用户被直播展示的商品所吸引，认为其外观诱人从而产生了食欲或购买欲望。
127652977,生鲜水果,需要解冻,0,该用户想询问商品是否需要提前解冻才能食用或使用。
127652977,生鲜水果,刚才那个和这个搭配卖被,1,该用户想表达的含义是：询问刚才展示的商品是否能与当前商品组合购买。
127652977,生鲜水果,相信老杨[赞],0,该用户想表达的含义是：对主播老杨的信任和认可，愿意支持其推荐的产品。
127652977,生鲜水果,有没有原箱的,1,该用户是在询问商品是否有未拆封的整箱包装可供购买。
127652977,生鲜水果,我要吃鱿鱼[捂脸],1,该用户被直播中的鱿鱼产品吸引，表达出强烈的购买欲望和期待品尝的心情。
127652977,生鲜水果,大个海参没有了吗,1,该用户是在询问直播间是否还有大规格海参的库存，表现出明确的购买意向和对该商品的关注。
127652977,生鲜水果,胖莹炒挺好啊手法娴熟[捂脸],0,该用户是在调侃主播“胖莹”炒菜技术熟练，用幽默的方式表达对直播内容的认可和观看乐趣。
127652977,生鲜水果,章鱼么,1,该用户可能在询问直播中是否有售卖章鱼产品。
127652977,生鲜水果,4包89,0,该用户是在询问或确认当前促销的商品组合价格，即“4包售价89元是否划算”。
127652977,生鲜水果,鱿鱼头好吃还是鱿鱼须,1,该用户是在询问鱿鱼不同部位的口感对比，以帮助自己做出购买决策。
127652977,生鲜水果,80包,0,该用户是在询问或确认商品的价格和数量组合，比如“80元可以买多少包”。
127652977,生鲜水果,鱿鱼须好吃还是鱿鱼头好吃,1,该用户是在询问鱿鱼不同部位的口感对比，以帮助自己做出购买决策。
127652977,生鲜水果,没那么大冰箱,0,该用户可能是在委婉表达对产品规格或储存条件的顾虑，暗示当前商品份量或包装尺寸不适合自家冰箱容量。
127652977,生鲜水果,给酱吗?,1,该用户是在询问直播商品是否附赠蘸酱或调料。
127652977,生鲜水果,这个这个是原味的吗?,1,该用户是在询问当前展示的商品是否为未经调味的原始风味版本。
127652977,生鲜水果,有没有减发,0,该用户可能是在询问直播间是否有减少头发或脱发相关的产品。
127652977,生鲜水果,"吃一口啊,没见吃",0,该用户可能在催促主播试吃展示的产品，并表达对主播迟迟不品尝的焦急或调侃。
127652977,生鲜水果,Perfect!,0,该用户想表达的含义是：对当前展示的商品或主播的表现感到非常满意和赞赏。
127652977,生鲜水果,是原味的吗?,1,该用户是在询问产品是否为未经调味的原始风味版本。
127652977,生鲜水果,一看就有食欲[比心][比心][比心],1,该用户被直播中展示的食品外观所吸引，产生了强烈的品尝欲望和购买意向。
